,電影名稱,電影場次,電影評分,預告片,封面,影城,地址,票價,分類,票房,金額
10,捍衛戰士：獨行俠,16:40,94%,https://movies.yahoo.com.tw/video/%E6%8D%8D%E8%A1%9B%E6%88%B0%E5%A3%AB-%E7%8D%A8%E8%A1%8C%E4%BF%A0-%E8%A3%B8%E8%A6%963d%E6%88%B6%E5%A4%96%E9%9B%BB%E8%A6%96%E5%BB%A3%E5%91%8A-130023940.html?movie_id=10159,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/IPaDhsb4uOa5QvdXGh3G-1080x1601.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,"['動作', '劇情']",,
11,捍衛戰士：獨行俠,17:10,94%,https://movies.yahoo.com.tw/video/%E6%8D%8D%E8%A1%9B%E6%88%B0%E5%A3%AB-%E7%8D%A8%E8%A1%8C%E4%BF%A0-%E8%A3%B8%E8%A6%963d%E6%88%B6%E5%A4%96%E9%9B%BB%E8%A6%96%E5%BB%A3%E5%91%8A-130023940.html?movie_id=10159,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/IPaDhsb4uOa5QvdXGh3G-1080x1601.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,"['動作', '劇情']",,
12,捍衛戰士：獨行俠,17:40,94%,https://movies.yahoo.com.tw/video/%E6%8D%8D%E8%A1%9B%E6%88%B0%E5%A3%AB-%E7%8D%A8%E8%A1%8C%E4%BF%A0-%E8%A3%B8%E8%A6%963d%E6%88%B6%E5%A4%96%E9%9B%BB%E8%A6%96%E5%BB%A3%E5%91%8A-130023940.html?movie_id=10159,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/IPaDhsb4uOa5QvdXGh3G-1080x1601.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,"['動作', '劇情']",,
13,捍衛戰士：獨行俠,18:15,94%,https://movies.yahoo.com.tw/video/%E6%8D%8D%E8%A1%9B%E6%88%B0%E5%A3%AB-%E7%8D%A8%E8%A1%8C%E4%BF%A0-%E8%A3%B8%E8%A6%963d%E6%88%B6%E5%A4%96%E9%9B%BB%E8%A6%96%E5%BB%A3%E5%91%8A-130023940.html?movie_id=10159,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/IPaDhsb4uOa5QvdXGh3G-1080x1601.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,"['動作', '劇情']",,
14,捍衛戰士：獨行俠,18:45,94%,https://movies.yahoo.com.tw/video/%E6%8D%8D%E8%A1%9B%E6%88%B0%E5%A3%AB-%E7%8D%A8%E8%A1%8C%E4%BF%A0-%E8%A3%B8%E8%A6%963d%E6%88%B6%E5%A4%96%E9%9B%BB%E8%A6%96%E5%BB%A3%E5%91%8A-130023940.html?movie_id=10159,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/IPaDhsb4uOa5QvdXGh3G-1080x1601.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,"['動作', '劇情']",,
15,捍衛戰士：獨行俠,19:15,94%,https://movies.yahoo.com.tw/video/%E6%8D%8D%E8%A1%9B%E6%88%B0%E5%A3%AB-%E7%8D%A8%E8%A1%8C%E4%BF%A0-%E8%A3%B8%E8%A6%963d%E6%88%B6%E5%A4%96%E9%9B%BB%E8%A6%96%E5%BB%A3%E5%91%8A-130023940.html?movie_id=10159,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/IPaDhsb4uOa5QvdXGh3G-1080x1601.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,"['動作', '劇情']",,
16,捍衛戰士：獨行俠,19:45,94%,https://movies.yahoo.com.tw/video/%E6%8D%8D%E8%A1%9B%E6%88%B0%E5%A3%AB-%E7%8D%A8%E8%A1%8C%E4%BF%A0-%E8%A3%B8%E8%A6%963d%E6%88%B6%E5%A4%96%E9%9B%BB%E8%A6%96%E5%BB%A3%E5%91%8A-130023940.html?movie_id=10159,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/IPaDhsb4uOa5QvdXGh3G-1080x1601.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,"['動作', '劇情']",,
17,捍衛戰士：獨行俠,20:15,94%,https://movies.yahoo.com.tw/video/%E6%8D%8D%E8%A1%9B%E6%88%B0%E5%A3%AB-%E7%8D%A8%E8%A1%8C%E4%BF%A0-%E8%A3%B8%E8%A6%963d%E6%88%B6%E5%A4%96%E9%9B%BB%E8%A6%96%E5%BB%A3%E5%91%8A-130023940.html?movie_id=10159,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/IPaDhsb4uOa5QvdXGh3G-1080x1601.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,"['動作', '劇情']",,
18,捍衛戰士：獨行俠,20:50,94%,https://movies.yahoo.com.tw/video/%E6%8D%8D%E8%A1%9B%E6%88%B0%E5%A3%AB-%E7%8D%A8%E8%A1%8C%E4%BF%A0-%E8%A3%B8%E8%A6%963d%E6%88%B6%E5%A4%96%E9%9B%BB%E8%A6%96%E5%BB%A3%E5%91%8A-130023940.html?movie_id=10159,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/IPaDhsb4uOa5QvdXGh3G-1080x1601.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,"['動作', '劇情']",,
19,捍衛戰士：獨行俠,21:20,94%,https://movies.yahoo.com.tw/video/%E6%8D%8D%E8%A1%9B%E6%88%B0%E5%A3%AB-%E7%8D%A8%E8%A1%8C%E4%BF%A0-%E8%A3%B8%E8%A6%963d%E6%88%B6%E5%A4%96%E9%9B%BB%E8%A6%96%E5%BB%A3%E5%91%8A-130023940.html?movie_id=10159,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/IPaDhsb4uOa5QvdXGh3G-1080x1601.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,"['動作', '劇情']",,
